Pays;CODE;categorie;Continent;rang;Score;population;IDH;taux_de_croissance_demographique;degre_de_liberte_de_propriete;degre_de_liberte_face.a_la_corruption;degre_de_liberte_financiere;degre_de_liberte_fiscale;degre_de_liberte_monetaire;degre_de_liberte_de_travail;culture_democratique;efficacite_et_responsabilite_gouvernementale;degre_de_liberte_civile;niveau_de_participation_politique;pluralite_et_qualite_du_processus_electoral;degre_de_liberte_de_presse;indice_de_droit_politique;degre_de_liberte_economique;niveau_de_liberte_des_invistissements;Niveau_du_taux_marginal_d.imposition;Taille_de_l.etat;Taux_marginal_d.imposition;degre_de_liberte_de_commerce;Depenses_militaires_.._du_PIB.;Exportations_d.armes_..US_constant_1990.;Importations_d.armes_..US_constant_1990.;Personnel_militaire_.._de_la_main_d.œuvre_totale.;Personnel_militaire_.total.;Niveau_d.instabilite_politique;Depenses_publiques_totales_dans_le_secteur_de_l.education_.._du_PIB.;Taux_d.inscription_aux_etudes_primaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_secondaires_.taux_brut.._de_la_population.;Taux_d.inscription_aux_etudes_tertiaires.taux_brut.._de_la_population.;Degre_d.alphabetisation_chez_les_femmes_ayant_entre_15_et_24_ans.;Degre_d.alphabetisation_chez_les_hommes_ayant_entre_15_et_24_ans_...;Utilisateurs_d.Internet_.par_100_habitants.;Nombre_de_serveurs_securises_.par_million_d.habitants.
Cameroun;CMR;regime autoritaire;CONTINENT AFRICAIN;126;3.44;21699631;0.37;2.55;30;22;50;69.3;70.9;48.1;5;4.29;6;3.33;0.75;28.83;6;51.8;10;5;7.98;39;54.9;1.34;769694444;244870690;0.27;23200;NA;2.97;111;50;42.31;90.61;92.52;NA;NA
Canada;CAN;democratie;CONTINENT AMERICAIN;8;NA;34754312;0.82;0.99;90;89;80;79.2;77.3;81.8;8.75;9.29;1;7.78;9.58;0.75;1;79.9;8;6;NA;50;87.9;NA;341000000;193000000;0.34;66000;1;4.42;99;111;42.31;90.61;92.52;83;1237.92
Cap-Vert;CPV;democratie imparfaite;CONTINENT AFRICAIN;25;7.92;494401;0.5;0.6;65;51;60;77.3;80.5;48.5;6.25;7.86;1;7.22;9.17;13.75;1;63.5;6;7;6.32;30;66.9;0.48;769694444;10000000;0.52;1200;2.47;4.42;112;93;20.61;98.4;97.87;34.74;24.27
Centrafricaine (rep);CAF;regime autoritaire;CONTINENT AFRICAIN;152;1.99;4525209;0.28;1.96;20;21;30;65.2;74.6;49.1;NA;NA;5;1.67;1.75;NA;5;50.3;4;5;6.82;48;57.8;1.95;769694444;244870690;0.38;8150;NA;4.42;95;18;2.84;90.61;92.52;3;0.22
Chili;CHL;democratie imparfaite;CONTINENT AMERICAIN;35;7.54;17464814;0.63;0.92;90;72;70;77.4;85.6;75.1;6.25;8.57;1;3.89;9.58;NA;1;78.3;10;7;7.77;40;82;NA;769694444;58000000;1.25;106100;1;4.55;101;89;74.39;90.61;92.52;61.42;82.17
Chine;CHN;regime autoritaire;CONTINENT ASIATIQUE;137;3;1350695000;0.4;0.48;20;35;30;70.4;74.2;55.4;5;4.64;6;3.89;0;97;7;51.2;2;6;3.63;45;71.6;2;1666000000;1651000000;0.38;2993000;2.75;4.42;128;89;NA;90.61;92.52;42.3;3.14
Chypre;CYP;democratie imparfaite;CONTINENT EUROPEEN;40;7.29;1128994;0.5;1.16;70;63;70;83.3;85.7;69.9;5.63;6.43;1;NA;9.17;27.56;1;71.8;10;8;6.93;30;82.1;1.66;769694444;6000000;2.15;12750;NA;4.42;100;95;45.86;90.61;92.52;60.69;786.54
Colombie;COL;democratie imparfaite;CONTINENT AMERICAIN;55;6.63;47704427;0.55;1.36;50;35;60;76;78.7;79.7;3.75;NA;4;3.89;9.17;40.83;3;68;6;7;6.13;35;72.2;3.17;769694444;251000000;1.91;440224;2;4.38;104;93;45.02;90.61;92.52;48.98;28.45
Comores(Les);COM;regime autoritaire;CONTINENT AFRICAIN;123;3.52;717503;0.5;2.48;30;21;20;64.9;78.3;31.2;3.75;2.21;4;3.89;3.92;NA;3;45.7;6;7;6.32;30;69.4;1.95;769694444;1000000;1.29;343;2.47;4.42;104;80;9.86;86.52;86.31;5.98;1.39
Congo;COD;regime autoritaire;CONTINENT AFRICAIN;139;2.89;4337051;0.46;2.73;10;21;30;61.3;71;45.7;3.75;2.86;5;3.33;1.25;23.17;6;43.8;2;4;5.21;45;60.7;1.95;769694444;23000000;0.68;12000;NA;4.42;109;54;10.36;90.61;92.52;NA;1.38
Congo (rep. dem.);COG;regime autoritaire;CONTINENT AFRICAIN;154;1.92;65705093;0.28;2.76;10;20;20;72.5;51.2;39;3.13;0.71;6;2.22;1.75;40.75;6;41.1;0;3;5.19;50;63;1.46;769694444;10000000;0.52;134250;4;4.42;111;43;8.23;90.61;92.52;1.68;0.26
Coree du Nord;KOR;regime autoritaire;CONTINENT ASIATIQUE;162;NA;24763188;0.5;0.53;5;5;0;0;0;0;1.25;NA;7;1.67;0;97.5;7;1;6;7;6.32;30;0;1.95;769694444;244870690;9.14;1379000;3.75;4.42;105;81;42.31;90.61;92.52;0;77.76
Coree du Sud;PRK;democratie;CONTINENT ASIATIQUE;19;8.13;50004441;0.63;0.74;70;54;70;72.8;78.9;49.7;NA;8.21;2;7.22;9.17;NA;1;69.9;8;6;6.85;39;72.6;2.59;218000000;1066000000;2.56;659500;2.13;4.62;105;81;42.31;90.61;92.52;84.07;2751.54
Costa Rica;CRT;democratie;CONTINENT AMERICAIN;21;NA;4805295;0.61;1.45;55;53;50;82.8;73.4;62.7;6.88;8.21;1;NA;9.58;4.25;1;68;10;9;7.85;25;85.1;1.95;769694444;1000000;0.43;9800;1;4.42;105;104;46.74;90.61;92.52;47.5;94.9
Côte-d'Ivoire;CIV;regime autoritaire;CONTINENT AFRICAIN;131;3.25;19839750;0.35;2.15;20;22;50;78.1;81.7;56.1;5.63;1.79;6;5;0;19;7;54.3;4;5;6.95;39;70.3;1.51;769694444;244870690;1.29;343;3.38;4.42;94;81;4.46;38.75;58.33;2.38;1.46
Croatie;HRV;democratie imparfaite;CONTINENT EUROPEEN;48;6.93;4267558;0.5;-0.05;40;41;60;76.4;81.4;44.4;5.63;NA;2;5.56;9.17;8.75;1;60.9;10;3;4.96;51;87.5;1.69;769694444;17000000;NA;19550;2.25;4.42;97;98;61.63;90.61;92.52;61.94;245.11
